scene_id,attack_name,category,success,packets_sent,packets_captured,duration_ms
104348160_171513093,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,13.3
104348160_171513093,"Matter State Injection",matter_message_injection,0,0,0,23.0
104348160_171513093,"Matter Command Hijack",matter_command_hijack,0,0,0,12.2
104348160_171513093,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,503.1
104348160_171513093,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1105.9
104348160_171513093,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,519.9
104348160_171513093,"Zigbee Frame Replay",protocol_replay,1,0,0,1.2
104348160_171513093,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.4
104348160_171513093,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,4.3
104348160_171513093,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.1
104348160_171513093,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
104348160_171513093,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.1
104348160_171513093,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.1
104348160_171513093,"Traffic Fingerprinting",traffic_analysis,1,0,0,1811.5
